date,game,id,player1,player2,hand1,hand2,rta,rtb,sca,scb,result
2026-03-19,LotV,492007,22122,8148,1,3,0.6756338722568909,1.72874263417327,0,1,0
2026-03-19,LotV,492005,8148,13223,3,3,1.72874263417327,0.7054237067070424,1,0,1
2026-03-19,LotV,492004,13223,5847,3,2,0.7054237067070424,1.6683801905755107,1,0,1
2026-03-19,LotV,492003,5847,18046,2,2,1.6683801905755107,1.4962299299361865,1,0,1
2026-03-19,LotV,492002,8356,11208,3,1,0.45894023071836515,0.9404670020799755,0,2,0
2026-03-19,LotV,492001,18251,19128,3,1,0.9509208791146525,-0.4477447449024424,2,0,1
2026-03-19,LotV,492000,13223,21449,3,2,0.7054237067070424,1.3213047731518197,0,2,0
2026-03-19,LotV,491999,18651,12918,3,1,1.1852145096393274,0.9545955368173987,1,2,0
2026-03-19,LotV,491998,22122,25440,1,3,0.6756338722568909,0.6324458600795803,1,2,0
2026-03-19,LotV,491997,1665,18251,1,3,2.1775398941287305,0.9509208791146525,1,0,1
2026-03-19,LotV,491996,8676,6235,3,3,1.8931534170338489,0.9953801307065979,1,0,1
2026-03-19,LotV,491995,1665,18251,1,3,2.1775398941287305,0.9509208791146525,1,0,1
2026-03-19,LotV,491994,58,19616,3,2,1.6521887039147776,0.9707741266075326,0,1,0
2026-03-19,LotV,491993,117,18251,2,3,2.056300200360458,0.9509208791146525,1,0,1
2026-03-19,LotV,491992,1517,25440,1,3,1.9238147987146625,0.6324458600795803,1,0,1
2026-03-19,LotV,491991,233,23425,3,3,2.5215722016930293,0.4902431075785819,1,0,1
2026-03-19,LotV,492033,20623,8148,3,3,1.1274250462319604,1.72874263417327,0,1,0
2026-03-19,LotV,492017,18251,47,3,1,0.9509208791146525,2.257594549404028,1,0,1
2026-03-19,LotV,492016,47,21244,1,3,2.257594549404028,2.017362168862405,1,0,1
2026-03-19,LotV,492015,21244,1793,3,2,2.017362168862405,2.3683494474687703,1,0,1
2026-03-19,LotV,492014,14887,1793,3,2,1.7682451953880955,2.3683494474687703,0,1,0
2026-03-19,LotV,492013,19468,1793,1,2,1.7323854026131709,2.3683494474687703,0,1,0
2026-03-19,LotV,491990,1517,19616,1,2,1.9238147987146625,0.9707741266075326,1,0,1
2026-03-19,LotV,492011,15425,1793,1,2,1.3414391089918933,2.3683494474687703,0,1,0
2026-03-20,LotV,492053,18459,25999,1,1,-0.06423383748940549,-0.010185555475432411,1,2,0
2026-03-20,LotV,492057,22122,25999,1,1,0.6756338722568909,-0.010185555475432411,2,1,1
2026-03-20,LotV,492061,8415,7958,3,2,1.2601146568119905,1.2480129563088065,2,3,0
2026-03-20,LotV,492060,22122,7958,1,2,0.6756338722568909,1.2480129563088065,0,2,0
2026-03-20,LotV,492059,8415,22628,3,1,1.2601146568119905,-0.34650241661626013,2,0,1
2026-03-20,LotV,492058,905,7958,1,2,-0.004224305916671448,1.2480129563088065,0,2,0
2026-03-20,LotV,492023,5847,2053,2,3,1.6683801905755107,2.1155672576417293,0,1,0
2026-03-20,LotV,492022,4452,35,1,1,1.9260796103196258,1.751642606452428,1,0,1
2026-03-20,LotV,492026,4452,258,1,1,1.9260796103196258,1.88325724042333,0,1,0
2026-03-20,LotV,492027,5847,2170,2,3,1.6683801905755107,2.152005097089508,1,0,1
2026-03-20,LotV,492018,8676,117,3,2,1.8931534170338489,2.056300200360458,0,1,0
2026-03-20,LotV,492020,1665,233,1,3,2.1775398941287305,2.5215722016930293,1,0,1
2026-03-20,LotV,492019,58,233,3,3,1.6521887039147776,2.5215722016930293,1,0,1
2026-03-20,LotV,492028,5847,47,2,1,1.6683801905755107,2.257594549404028,0,1,0
2026-03-20,LotV,492029,8913,4049,3,2,1.4149521088808077,1.8963598995313413,0,1,0
2026-03-20,LotV,492054,7958,25919,2,1,1.2480129563088065,0.0007688628228056387,2,0,1
2026-03-20,LotV,492052,23392,24842,1,1,-0.4399998998766453,-0.10821499355603749,1,2,0
2026-03-20,LotV,492023,5847,2053,2,3,1.6683801905755107,2.1155672576417293,0,1,0
2026-03-20,LotV,492021,1665,1517,1,1,2.1775398941287305,1.9238147987146625,1,0,1
2026-03-20,LotV,492022,4452,35,1,1,1.9260796103196258,1.751642606452428,1,0,1
2026-03-20,LotV,492058,905,7958,1,2,-0.004224305916671448,1.2480129563088065,0,2,0
2026-03-20,LotV,492059,8415,22628,3,1,1.2601146568119905,-0.34650241661626013,2,0,1
2026-03-20,LotV,492060,22122,7958,1,2,0.6756338722568909,1.2480129563088065,0,2,0
2026-03-20,LotV,492061,8415,7958,3,2,1.2601146568119905,1.2480129563088065,2,3,0
2026-03-20,LotV,492056,22628,24842,1,1,-0.34650241661626013,-0.10821499355603749,2,0,1
2026-03-20,LotV,492057,22122,25999,1,1,0.6756338722568909,-0.010185555475432411,2,1,1
2026-03-20,LotV,492051,25146,25612,2,2,0.02911590074024333,-0.14684751956997488,2,1,1
2026-03-20,LotV,492055,8415,25146,3,2,1.2601146568119905,0.02911590074024333,2,0,1
2026-03-20,LotV,492053,18459,25999,1,1,-0.06423383748940549,-0.010185555475432411,1,2,0
2026-03-21,LotV,492092,25535,25130,1,2,0.3227452414298428,-0.00366142287862375,2,0,1
2026-03-21,LotV,492091,17202,25158,3,1,0.28667246477289265,-0.020664751574256682,2,0,1
2026-03-21,LotV,492086,12863,18465,2,1,0.019378662376422974,-0.00281310368575122,2,0,1
2026-03-21,LotV,492090,19223,5938,3,2,-0.07667626353215025,0.8737242605236558,1,2,0
2026-03-21,LotV,492085,8913,24186,3,2,1.4149521088808077,-0.07476681044906675,2,0,1
2026-03-21,LotV,492084,18651,25773,3,4,1.1852145096393274,0.036591019475797425,2,0,1
2026-03-21,LotV,492400,25612,25999,2,1,-0.14684751956997488,-0.010185555475432411,0,2,0
2026-03-21,LotV,492404,8415,25999,3,1,1.2601146568119905,-0.010185555475432411,2,0,1
2026-03-21,LotV,492099,25873,5938,2,2,0.05580890268260325,0.8737242605236558,1,2,0
2026-03-21,LotV,492095,19405,23626,1,2,0.660200164998794,0.025981650053034194,2,0,1
2026-03-21,LotV,492094,257,17623,2,3,0.06704664303187684,1.270646158758261,0,2,0
2026-03-21,LotV,492096,23485,23679,3,3,0.7876043672646318,-0.06594486363583452,2,0,1
2026-03-21,LotV,492089,25873,23487,2,3,0.05580890268260325,0.0696220335275539,2,1,1
2026-03-21,LotV,492088,145,21667,3,3,0.8695665733054867,0.2833719575552646,1,2,0
2026-03-21,LotV,492098,21668,25506,3,1,0.42551874559770586,0.07104229721077561,2,0,1
2026-03-21,LotV,492038,14106,13223,1,3,0.8195923826811116,0.7054237067070424,2,1,1
2026-03-21,LotV,492103,8980,22004,1,3,1.3896045474972039,0.8706105226261068,2,1,1
2026-03-21,LotV,492362,23829,26009,2,1,0.3926693495084255,0.1978172607591025,3,0,1
2026-03-21,LotV,492102,25535,15676,1,3,0.3227452414298428,0.39289213618377083,2,0,1
2026-03-21,LotV,492101,17202,23485,3,3,0.28667246477289265,0.7876043672646318,0,2,0
2026-03-21,LotV,492100,23829,5933,2,3,0.3926693495084255,1.2421058840450498,1,2,0
2026-03-21,LotV,492401,23392,22628,1,1,-0.4399998998766453,-0.34650241661626013,0,2,0
2026-03-21,LotV,492380,5938,23485,2,3,0.8737242605236558,0.7876043672646318,3,2,1
2026-03-21,LotV,492071,8913,12863,3,2,1.4149521088808077,0.019378662376422974,2,0,1
2026-03-21,LotV,492402,184,25166,1,3,1.6978835532664673,-0.0265118774369897,2,0,1
2026-03-21,LotV,492403,7958,25601,2,2,1.2480129563088065,-0.039456453874466474,2,0,1
2026-03-21,LotV,492405,17044,22628,1,1,0.5187768572542946,-0.34650241661626013,2,0,1
2026-03-21,LotV,492406,184,7958,1,2,1.6978835532664673,1.2480129563088065,2,0,1
2026-03-21,LotV,492407,8415,17044,3,1,1.2601146568119905,0.5187768572542946,2,0,1
2026-03-21,LotV,492408,184,8415,1,3,1.6978835532664673,1.2601146568119905,3,1,1
2026-03-21,LotV,492083,12863,24186,2,2,0.019378662376422974,-0.07476681044906675,2,1,1
2026-03-21,LotV,492039,1517,25571,1,3,1.9238147987146625,0.1455283654207645,2,0,1
2026-03-21,LotV,492040,186,25324,3,2,2.2857920580975764,-0.6141668168810287,2,0,1
2026-03-21,LotV,492077,21843,24186,2,2,-0.258343557952196,-0.07476681044906675,1,2,0
2026-03-21,LotV,492046,186,19468,3,1,2.2857920580975764,1.7323854026131709,1,2,0
2026-03-21,LotV,492047,47,2,1,3,2.257594549404028,1.8368400253772912,2,0,1
2026-03-21,LotV,492048,233,117,3,2,2.5215722016930293,2.056300200360458,2,0,1
2026-03-21,LotV,492049,19468,47,1,1,1.7323854026131709,2.257594549404028,1,2,0
2026-03-21,LotV,492050,233,47,3,1,2.5215722016930293,2.257594549404028,3,1,1
2026-03-21,LotV,492078,24817,12863,1,2,-0.13015891954279565,0.019378662376422974,0,2,0
2026-03-21,LotV,492037,233,25877,3,1,2.5215722016930293,-0.06392407611277705,2,0,1
2026-03-21,LotV,492104,7956,17623,3,3,1.5527061744972919,1.270646158758261,1,2,0
2026-03-21,LotV,492105,21667,19405,3,1,0.2833719575552646,0.660200164998794,1,2,0
2026-03-21,LotV,492062,49,2053,1,3,2.4982588040095455,2.1155672576417293,3,0,1
2026-03-21,LotV,492063,1665,47,1,1,2.1775398941287305,2.257594549404028,2,3,0
2026-03-21,LotV,492079,8913,25773,3,3,1.4149521088808077,0.036591019475797425,2,0,1
2026-03-21,LotV,492064,8913,18465,3,1,1.4149521088808077,-0.00281310368575122,2,0,1
2026-03-21,LotV,492065,18651,21843,3,2,1.1852145096393274,-0.258343557952196,2,0,1
2026-03-21,LotV,492066,25773,24817,3,1,0.036591019475797425,-0.13015891954279565,2,1,1
2026-03-21,LotV,492080,24817,21843,1,2,-0.13015891954279565,-0.258343557952196,2,0,1
2026-03-21,LotV,492075,25773,18465,3,1,0.036591019475797425,-0.00281310368575122,2,0,1
2026-03-21,LotV,492074,8913,18651,4,4,1.4149521088808077,1.1852145096393274,2,1,1
2026-03-21,LotV,492072,18651,24186,3,2,1.1852145096393274,-0.07476681044906675,2,0,1
2026-03-21,LotV,492041,19468,24073,1,3,1.7323854026131709,-0.14617632123587132,2,0,1
2026-03-21,LotV,492042,47,25575,1,2,2.257594549404028,0.05807610441876543,2,0,1
2026-03-21,LotV,492043,2,25923,3,1,1.8368400253772912,0.12115719457635175,2,0,1
2026-03-21,LotV,492044,233,14106,3,1,2.5215722016930293,0.8195923826811116,2,0,1
2026-03-21,LotV,492045,117,1517,2,1,2.056300200360458,1.9238147987146625,2,0,1
2026-03-22,LotV,492110,21668,5933,3,3,0.42551874559770586,1.2421058840450498,0,2,0
2026-03-22,LotV,492112,21668,17623,3,3,0.42551874559770586,1.270646158758261,2,1,1
2026-03-22,LotV,492111,23485,17623,3,3,0.7876043672646318,1.270646158758261,2,1,1
2026-03-22,LotV,492109,8980,17623,1,3,1.3896045474972039,1.270646158758261,0,2,0
2026-03-22,LotV,492108,23485,25535,3,1,0.7876043672646318,0.3227452414298428,2,0,1
2026-03-22,LotV,492107,5938,5933,2,3,0.8737242605236558,1.2421058840450498,1,2,0
2026-03-22,LotV,492106,21668,19405,3,1,0.42551874559770586,0.660200164998794,2,0,1
2026-03-22,LotV,492128,18651,18465,4,1,1.1852145096393274,-0.00281310368575122,3,0,1
2026-03-22,LotV,492131,8913,18651,3,3,1.4149521088808077,1.1852145096393274,4,2,1
2026-03-22,LotV,492130,18651,25773,3,4,1.1852145096393274,0.036591019475797425,3,0,1
2026-03-22,LotV,492129,8913,12863,3,2,1.4149521088808077,0.019378662376422974,3,1,1
2026-03-22,LotV,492127,8913,21843,4,4,1.4149521088808077,-0.258343557952196,3,1,1
2026-03-22,LotV,492126,25773,24817,4,1,0.036591019475797425,-0.13015891954279565,3,0,1
2026-03-22,LotV,492124,12863,24186,2,2,0.019378662376422974,-0.07476681044906675,3,1,1
2026-03-22,LotV,492122,11568,978,3,1,0.38738768406093643,0.780072355663802,2,0,1
2026-03-22,LotV,492121,24691,24277,3,3,0.6260108684532347,0.4663291237044872,0,2,0
2026-03-22,LotV,492120,13229,978,2,1,-0.07635749278846354,0.780072355663802,0,2,0
2026-03-22,LotV,492119,22989,11568,1,3,-0.21731153075029475,0.38738768406093643,0,2,0
2026-03-22,LotV,492118,24277,12914,3,3,0.4663291237044872,0.07856220124535272,2,0,1
2026-03-22,LotV,492117,22919,24691,3,3,-0.7024484554155249,0.6260108684532347,0,2,0
2026-03-22,LotV,492116,24691,2361,3,3,0.6260108684532347,0.1888694625148559,2,0,1
2026-03-22,LotV,492115,1662,21244,2,3,1.9950734832012644,2.017362168862405,2,3,0
2026-03-22,LotV,492123,24277,11568,3,3,0.4663291237044872,0.38738768406093643,2,0,1
2026-03-22,LotV,492579,5078,25938,3,2,-0.20843181281071,-0.02037762073624543,1,0,1
2026-03-22,LotV,492580,23291,24879,1,3,-0.11945581065794184,-0.08467950264539706,0,1,0
2026-03-22,LotV,492113,5933,23485,3,3,1.2421058840450498,0.7876043672646318,0,2,0
2026-03-22,LotV,492585,7614,5775,1,3,0.21906069310024548,-0.13638098810440444,1,2,0
2026-03-22,LotV,492586,7614,5775,1,3,0.21906069310024548,-0.13638098810440444,1,0,1
2026-03-22,LotV,492573,25210,23291,2,1,-0.051896913097147224,-0.11945581065794184,2,0,1
2026-03-22,LotV,492574,21460,25938,1,2,-0.041642155606249,-0.02037762073624543,2,1,1
2026-03-22,LotV,492114,233,19591,3,3,2.5215722016930293,2.4352342119331007,0,3,0
2026-03-22,LotV,492582,21460,24879,1,3,-0.041642155606249,-0.08467950264539706,1,0,1
2026-03-22,LotV,492581,25210,5078,2,3,-0.051896913097147224,-0.20843181281071,1,0,1
2026-03-22,LotV,492575,5775,5078,3,3,-0.13638098810440444,-0.20843181281071,2,0,1
2026-03-22,LotV,492576,7614,25210,1,2,0.21906069310024548,-0.051896913097147224,2,0,1
2026-03-22,LotV,492577,5775,21460,3,1,-0.13638098810440444,-0.041642155606249,2,0,1
2026-03-22,LotV,492578,7614,5775,1,3,0.21906069310024548,-0.13638098810440444,2,1,1
2026-03-22,LotV,492572,7614,24914,1,1,0.21906069310024548,-0.2456149701572934,2,0,1
2026-03-22,LotV,492381,26009,5938,1,2,0.1978172607591025,0.8737242605236558,0,3,0
2026-03-22,LotV,492583,25210,21460,2,1,-0.051896913097147224,-0.041642155606249,1,0,1
2026-03-22,LotV,492584,5775,25210,3,2,-0.13638098810440444,-0.051896913097147224,1,0,1
2026-03-23,LotV,492158,23600,24996,3,3,-0.0942461099573611,-0.14341172767324042,0,2,0
2026-03-23,LotV,492168,362,25440,3,3,0.8140652299447073,0.6324458600795803,0,2,0
2026-03-23,LotV,492164,47,5775,1,3,2.257594549404028,-0.13638098810440444,2,0,1
2026-03-23,LotV,492165,1665,22423,1,1,2.1775398941287305,-0.007862532038093839,2,0,1
2026-03-23,LotV,492175,12091,4948,2,3,0.9534017245268508,0.324297544706672,2,0,1
2026-03-23,LotV,492152,20769,35,3,1,1.5474750867073013,1.751642606452428,2,0,1
2026-03-23,LotV,492176,7614,23600,1,3,0.21906069310024548,-0.0942461099573611,1,0,1
2026-03-23,LotV,492177,22470,23461,4,2,0.1978635052012163,-0.06843855485398882,1,0,1
2026-03-23,LotV,492181,20769,15425,3,1,1.5474750867073013,1.3414391089918933,2,0,1
2026-03-23,LotV,492182,47,12091,1,2,2.257594549404028,0.9534017245268508,2,0,1
2026-03-23,LotV,492153,5878,233,1,3,2.550502099700774,2.5215722016930293,0,2,0
2026-03-23,LotV,492178,3682,7614,1,1,-0.008850901703194039,0.21906069310024548,1,0,1
2026-03-23,LotV,492209,5878,47,3,1,2.550502099700774,2.257594549404028,2,1,1
2026-03-23,LotV,492208,233,20623,3,3,2.5215722016930293,1.1274250462319604,2,0,1
2026-03-23,LotV,492206,19591,16764,3,3,2.4352342119331007,1.1717025789661317,1,0,1
2026-03-23,LotV,492205,19468,15425,1,1,1.7323854026131709,1.3414391089918933,1,0,1
